2022-11-19 15:00:26,994 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668852026.493855, 'type': 'status', 'user': {'account_name': 'dfhh@', 'status': 'Я онлайн!'}}
2022-11-19 15:00:26,996 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 15:00:39,502 INFO   my_server Client ('127.0.0.1', 53261) disconected from server
2022-11-19 15:05:22,981 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 15:05:22,981 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 15:05:28,941 INFO   my_server Connection established with ('127.0.0.1', 53371)
2022-11-19 15:05:29,442 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668852328.9416676, 'type': 'status', 'user': {'account_name': 'TT', 'status': 'Я онлайн!'}}
2022-11-19 15:05:29,443 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 15:05:30,944 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668852330.8847241, 'account_name': 'TT', 'destination': None, 'message_text': 'ssdf'}
2022-11-19 15:05:30,944 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 15:12:08,707 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 15:12:08,708 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 15:12:20,157 INFO   my_server Connection established with ('127.0.0.1', 53464)
2022-11-19 15:12:20,658 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668852740.1572661, 'type': 'status', 'user': {'account_name': 'TTT', 'status': 'Я онлайн!'}}
2022-11-19 15:12:20,659 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 15:12:40,167 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668852759.9318104, 'account_name': 'TTT', 'destination': 'TTT', 'message_text': '/pm TTT dfdf'}
2022-11-19 15:12:40,167 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 15:15:05,148 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 15:15:05,149 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 15:15:08,556 INFO   my_server Connection established with ('127.0.0.1', 53522)
2022-11-19 15:15:09,058 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668852908.556918, 'type': 'status', 'user': {'account_name': 'TTT', 'status': 'Я онлайн!'}}
2022-11-19 15:15:09,059 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 15:15:20,065 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668852919.8282015, 'account_name': 'TTT', 'destination': 'TTT', 'message_text': ['1', '2', '3']}
2022-11-19 15:15:20,065 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 15:16:30,424 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 15:16:30,424 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 15:16:47,333 INFO   my_server Connection established with ('127.0.0.1', 53545)
2022-11-19 15:16:47,834 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668853007.333489, 'type': 'status', 'user': {'account_name': 'TT', 'status': 'Я онлайн!'}}
2022-11-19 15:16:47,835 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 15:16:51,836 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668853011.6436503, 'account_name': 'TT', 'destination': None, 'message_text': []}
2022-11-19 15:16:51,836 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 15:17:09,473 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668853029.1315444, 'account_name': 'TT', 'destination': None, 'message_text': []}
2022-11-19 15:17:09,473 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 15:18:11,199 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668853090.8679597, 'account_name': 'TT', 'destination': 'TT', 'message_text': ['sdg']}
2022-11-19 15:18:11,199 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:19:34,527 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:19:34,528 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:19:40,248 INFO   my_server Connection established with ('127.0.0.1', 53907)
2022-11-19 17:19:40,749 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668860380.2482245, 'type': 'status', 'user': {'account_name': 'TTT', 'status': 'Я онлайн!'}}
2022-11-19 17:19:40,750 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:19:47,253 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668860386.8706255, 'account_name': 'TTT', 'destination': None, 'message_text': []}
2022-11-19 17:19:47,254 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:20:20,465 INFO   my_server Client ('127.0.0.1', 53907) disconected from server
2022-11-19 17:20:37,978 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:20:37,978 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:20:44,495 INFO   my_server Connection established with ('127.0.0.1', 53925)
2022-11-19 17:20:44,996 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668860444.4955287, 'type': 'status', 'user': {'account_name': 'R1', 'status': 'Я онлайн!'}}
2022-11-19 17:20:44,997 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:20:47,997 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668860447.5017633, 'account_name': 'R1', 'destination': None, 'message_text': []}
2022-11-19 17:20:47,998 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:21:00,661 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668860460.2463868, 'account_name': 'R1', 'destination': None, 'message_text': []}
2022-11-19 17:21:00,662 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:21:22,442 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668860482.0463827, 'account_name': 'R1', 'destination': 'g2', 'message_text': []}
2022-11-19 17:21:22,442 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:22:10,541 INFO   my_server Client ('127.0.0.1', 53925) disconected from server
2022-11-19 17:28:11,908 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:28:11,908 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:28:16,783 INFO   my_server Connection established with ('127.0.0.1', 54019)
2022-11-19 17:28:17,284 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668860896.7829044, 'type': 'status', 'user': {'account_name': 'T1', 'status': 'Я онлайн!'}}
2022-11-19 17:28:17,285 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:28:18,786 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668860898.6136825, 'account_name': 'T1', 'destination': None, 'message_text': 'dfje'}
2022-11-19 17:28:18,786 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:28:25,056 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668860905.0296478, 'account_name': 'T1', 'destination': None, 'message_text': 'ryk'}
2022-11-19 17:28:25,056 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:28:48,031 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668860927.9094903, 'account_name': 'T1', 'destination': 'y1', 'message_text': '/pm y1 ehe'}
2022-11-19 17:28:48,031 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:29:12,158 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668860952.1262145, 'account_name': 'T1', 'destination': 'y1', 'message_text': '/pm y1 ehe'}
2022-11-19 17:29:12,158 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:30:38,019 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:30:38,019 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:30:42,326 INFO   my_server Connection established with ('127.0.0.1', 54051)
2022-11-19 17:30:42,827 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668861042.3269374, 'type': 'status', 'user': {'account_name': 'T1', 'status': 'Я онлайн!'}}
2022-11-19 17:30:42,828 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:30:44,830 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861044.4937925, 'account_name': 'T1', 'destination': None, 'message_text': 'fgr'}
2022-11-19 17:30:44,831 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:31:57,339 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861117.0534694, 'account_name': 'T1', 'destination': None, 'message_text': 'rkyr'}
2022-11-19 17:31:57,339 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:32:24,723 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861144.333442, 'account_name': 'T1', 'destination': None, 'message_text': 'GGG'}
2022-11-19 17:32:24,724 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:33:06,946 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:33:06,947 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:33:12,294 INFO   my_server Connection established with ('127.0.0.1', 54089)
2022-11-19 17:33:12,795 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668861192.2949674, 'type': 'status', 'user': {'account_name': 'T1', 'status': 'Я онлайн!'}}
2022-11-19 17:33:12,796 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:33:26,804 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861206.493563, 'account_name': 'T1', 'destination': None, 'message_text': '1RRR'}
2022-11-19 17:33:26,804 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:34:07,963 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:34:07,963 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:34:12,926 INFO   my_server Connection established with ('127.0.0.1', 54102)
2022-11-19 17:34:13,427 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668861252.9265323, 'type': 'status', 'user': {'account_name': 'T1', 'status': 'Я онлайн!'}}
2022-11-19 17:34:13,428 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:34:16,930 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861256.6613114, 'account_name': 'T1', 'destination': None, 'message_text': '1RRR'}
2022-11-19 17:34:16,931 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:38:04,404 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:38:04,404 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:38:09,262 INFO   my_server Connection established with ('127.0.0.1', 54131)
